Priority,URL,SC Clicks,SC Position,SC CTR %,Primary Keyword,NEW Title (≤65),Title Len,NEW Meta Description (≤160),Desc Len,Content Refresh — Idea 1,Content Refresh — Idea 2,Content Refresh — Idea 3
Crown Jewel,/convenient-ways-to-get-from-la-paz-to-cabo-for-every-type-of-traveler,1301,1,1.15,la paz to cabo,La Paz to Cabo San Lucas — 5 Ways to Get There (2026 Guide),58,"La Paz to Cabo in 2026 — bus, shuttle, rental car, taxi or private transfer. Distance, prices, timing and the best option for each type of traveler.",148,"Add 2026 price table (bus ~$20, Aguila shuttle ~$30, rental car ~$60/day, taxi ~$180, private transfer ~$200)",Add FAQ: 'Is there Uber in La Paz?' 'Is there a train?' 'Can I do it in one day?',Add comparison matrix: Speed vs Cost vs Comfort per option. Link to Cabo Sailing transportation page.
Crown Jewel,/do-you-need-a-passport-to-go-to-cabo-san-lucas,1080,1,0.55,passport to cabo,Do You Need a Passport for Cabo? 2026 Requirements,53,"Yes, US and Canadian citizens need a passport to enter Mexico by air. Cruise passengers sometimes use a passport card. Full 2026 rules and tips.",148,Lead with a direct Yes/No answer + TL;DR box in the first 50 words,Add a by-entry-method table: Air / Cruise / Land border / Private plane,Mention Mexico's tourist card (FMM) requirements and how it's handled in 2026 (digital tourist card form)
Crown Jewel,/cabo-safety,2328,4.5,0.47,is cabo safe,(Already in CTR-Fix sheet — use that title/meta),0,(Already in CTR-Fix sheet — use that meta),0,"Add 'Safe areas vs. avoid' map or neighborhood list (Marina/Medano = safe, specific outer areas = caution)",Add 'Current travel advisory status' block referencing US State Department level + date,Add 'Cabo safety for families' and 'Cabo safety for solo women travelers' subsections (big traffic drivers)
Crown Jewel,/can-you-swim-in-cabo-san-lucas,1914,6.3,0.48,can you swim in cabo,(Already in CTR-Fix sheet — use that title/meta),0,(Already in CTR-Fix sheet — use that meta),0,Add a beach-by-beach swim-safety table with flag system (green/yellow/red swim flags),"Explain the Pacific-vs-Sea-of-Cortez currents difference (#1 reason Medano is swimmable, Playa del Divorcio isn't)",Add internal link to snorkel tour pages — people asking this question are high-intent for a booking
Priority,/is-cabo-worth-the-splurge-a-breakdown-of-value-vs-cost,723,4.8,0.56,is cabo worth it,Is Cabo Worth It? Honest Value vs. Cost Breakdown (2026),55,"Is Cabo San Lucas worth the price in 2026? Honest breakdown of what you get for your money — flights, hotels, dining, activities and how to save.",148,Add a '2026 sample trip' price breakdown: 5-day couple's trip at 3 budget tiers,Add 'Is Cabo worth it for…' subsections: families / honeymooners / bachelorette / budget travelers / luxury,Updated comparison with Cancun and Puerto Vallarta on $ per day
Priority,/sea-lions-in-cabo,661,5.4,2.09,cabo sea lions,Sea Lions in Cabo San Lucas — Where to See Them Up Close,53,"Cabo's famous sea lion colony at Land's End — where to see them, best boat tours, swimming safely, and what time of year they're most active.",141,Add best time-of-day and season for sighting (morning feed vs. afternoon rest),"Add safety block: don't touch, don't feed, 30ft distance (important for liability + SEO trust signal)",Refresh with recent photos/video from one of your tours — authenticity boost
Priority,/make-the-best-of-your-cabo-san-lucas-port-call,279,9.6,1.23,cabo cruise port,Cabo San Lucas Cruise Port — Best Things to Do in One Day,55,"Cruise day in Cabo? Maximize your hours ashore — best short tours, how to get to the Arch, lunch spots, tender timing and when to be back onboard.",151,Add 3 itinerary options by time window: '4 hours ashore / 6 hours / 8 hours',Explain Cabo uses tenders (not a dock) — timing and how to avoid long waits,Cross-sell your cruise-passenger snorkel and Arch tour directly
Priority,/babymooning-in-cabo,217,6.1,2.6,babymoon cabo,Babymoon in Cabo San Lucas — Romantic Pre-Baby Getaway Guide,59,"Planning a Cabo babymoon? Pregnancy-safe activities, best resorts, what to pack, and what to skip. Local's guide for expecting couples in 2026.",149,"Add a 'pregnancy-safe activity checklist' (calm-water sunset cruise = yes, jet ski = no, etc.)","Add a trimester timing guide (best to travel in 2nd trimester, why)","List 5-7 specific babymoon-friendly resorts and restaurants (quieter, non-party vibe)"
Priority,/todos-santos-true-mexican-oasis-near-cabo,164,32.3,1.86,todos santos from cabo,Todos Santos from Cabo — Day Trip Guide to the Pueblo Mágico,59,"Todos Santos is Baja's artsy pueblo mágico — just 1 hour from Cabo. Art galleries, Hotel California, beaches and how to do it in a day. Local's guide.",153,"Lead with 'How to get there' (60-min drive, directions, parking at the plaza)",Dedicated Hotel California section (the famous draw — most people search this),"Add beaches + surf section for day-trippers — Cerritos, Los Cerritos, etc."
Page-2 Push,/6-types-of-whales-you-can-spot-in-cabo,535,11.6,0.74,types of whales in cabo,6 Whale Species You Can Spot in Cabo San Lucas (2026),53,"Humpback, gray, blue, fin, sperm, orca — the 6 whale species you can see in Cabo San Lucas. When, where and how to identify each. Local's field guide.",153,"Add a month-by-month availability table (which species in Dec, Jan, Feb…)","Add ID photo/drawing per species + key identification feature (tail shape, spout, size)",Link to whale watching tour page + 'Which tour is best for spotting X'
